********LEGEND FOR FIELD NAMES LOCATED AT BOTTOM OF FILE************
Station_Code,isSWMP,m/d/y hh:mm,See Legend,See Legend,See Legend, C,Flag Code See Legend,mS/cm,Flag Code See Legend,psu,Flag Code See Legend,%,Flag Code See Legend,mg/L,Flag Code See Legend,m,Flag Code,m,Flag Code See Legend,m,Flag Code See Legend,m,Flag Code See Legend,Units,Flag Code See Legend,FNU/NTU,Flag Code See Legend
"Station_Code","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_pct","F_DO_pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb",
elksmwq,P,10/29/2015 00:30,0,0,,17.6,<0> ,,<-5> ,32.5,<0> ,7.4,<0> ,,<-5> ,,<-1> ,,,2.30,<0> ,2.28,<3> ,7.9,<0> ,9,<0> ,
elksmwq,P,10/29/2015 00:45,0,0,,17.8,<0> ,,<-5> ,32.7,<0> ,7.5,<0> ,,<-5> ,,<-1> ,,,2.28,<0> ,2.26,<3> ,7.9,<0> ,10,<0> ,
elksmwq,P,10/29/2015 01:00,0,0,,17.6,<0> ,,<-5> ,32.6,<0> ,7.7,<0> ,,<-5> ,,<-1> ,,,2.24,<0> ,2.22,<3> ,7.9,<0> ,12,<0> ,
elksmwq,P,10/29/2015 01:15,0,0,,17.7,<0> ,,<-5> ,32.7,<0> ,7.7,<0> ,,<-5> ,,<-1> ,,,2.20,<0> ,2.18,<3> ,8.0,<0> ,10,<0> ,
elksmwq,P,10/29/2015 01:30,0,0,,17.9,<0> ,,<-5> ,32.7,<0> ,7.7,<0> ,,<-5> ,,<-1> ,,,2.16,<0> ,2.14,<3> ,8.0,<0> ,24,<0> ,
elksmwq,P,10/29/2015 01:45,0,0,,17.9,<0> ,,<-5> ,32.6,<0> ,7.7,<0> ,,<-5> ,,<-1> ,,,2.11,<0> ,2.09,<3> ,8.0,<0> ,10,<0> ,
elksmwq,P,10/29/2015 02:00,0,0,,18.0,<0> ,,<-5> ,32.7,<0> ,7.6,<0> ,,<-5> ,,<-1> ,,,2.06,<0> ,2.04,<3> ,7.9,<0> ,11,<0> ,
elksmwq,P,10/29/2015 02:15,0,0,,18.1,<0> ,,<-5> ,32.8,<0> ,7.4,<0> ,,<-5> ,,<-1> ,,,2.01,<0> ,1.99,<3> ,7.9,<0> ,8,<0> ,
elksmwq,P,10/29/2015 04:30,0,0,,18.0,<0> ,,<-5> ,32.8,<0> ,6.9,<0> ,,<-5> ,,<-1> ,,,1.53,<0> ,1.52,<3> ,7.9,<0> ,10,<0> ,
elksmwq,P,10/29/2015 04:45,0,0,,17.9,<0> ,,<-5> ,32.8,<0> ,6.9,<0> ,,<-5> ,,<-1> ,,,1.51,<0> ,1.50,<3> ,7.9,<0> ,12,<0> ,
elksmwq,P,10/29/2015 05:00,0,0,,17.9,<0> ,,<-5> ,32.8,<0> ,6.8,<0> ,,<-5> ,,<-1> ,,,1.50,<0> ,1.49,<3> ,7.9,<0> ,11,<0> ,
elksmwq,P,10/29/2015 05:15,0,0,,17.9,<0> ,,<-5> ,32.8,<0> ,6.6,<0> ,,<-5> ,,<-1> ,,,1.50,<0> ,1.48,<3> ,7.9,<0> ,5,<0> ,
elksmwq,P,10/29/2015 06:30,0,0,,17.6,<0> ,,<-5> ,32.8,<0> ,6.7,<0> ,,<-5> ,,<-1> ,,,1.68,<0> ,1.66,<3> ,7.9,<0> ,6,<0> ,
elksmwq,P,10/29/2015 06:45,0,0,,17.6,<0> ,,<-5> ,32.8,<0> ,6.8,<0> ,,<-5> ,,<-1> ,,,1.73,<0> ,1.71,<3> ,7.9,<0> ,13,<0> ,
elksmwq,P,10/29/2015 07:00,0,0,,17.5,<0> ,,<-5> ,32.8,<0> ,6.6,<0> ,,<-5> ,,<-1> ,,,1.79,<0> ,1.77,<3> ,7.9,<0> ,12,<0> ,
elksmwq,P,10/29/2015 07:15,0,0,,17.5,<0> ,,<-5> ,32.8,<0> ,6.8,<0> ,,<-5> ,,<-1> ,,,1.84,<0> ,1.82,<3> ,7.9,<0> ,12,<0> ,
elksmwq,P,10/29/2015 07:30,0,0,,17.6,<0> ,,<-5> ,32.8,<0> ,6.9,<0> ,,<-5> ,,<-1> ,,,1.90,<0> ,1.88,<3> ,7.9,<0> ,14,<0> ,
elksmwq,P,10/29/2015 07:45,0,0,,17.5,<0> ,,<-5> ,32.7,<0> ,6.9,<0> ,,<-5> ,,<-1> ,,,1.96,<0> ,1.94,<3> ,7.9,<0> ,10,<0> ,
elksmwq,P,10/29/2015 08:00,0,0,,17.5,<0> ,,<-5> ,32.7,<0> ,7.0,<0> ,,<-5> ,,<-1> ,,,2.02,<0> ,1.99,<3> ,7.9,<0> ,10,<0> ,
elksmwq,P,10/29/2015 08:15,0,0,,17.4,<0> ,,<-5> ,32.7,<0> ,7.0,<0> ,,<-5> ,,<-1> ,,,2.09,<0> ,2.06,<3> ,7.9,<0> ,10,<0> ,
elksmwq,P,10/29/2015 08:30,0,0,,17.3,<0> ,,<-5> ,32.7,<0> ,7.0,<0> ,,<-5> ,,<-1> ,,,2.16,<0> ,2.14,<3> ,7.9,<0> ,11,<0> ,
